site	Acidovorax	Ahniella	Alicycliphilus	Aquaspirillum	Aromatoleum	Azoarcus	Azospira	Azospirillum	Bradyrhizobium	Comamonas	Cribrihabitans	Cupriavidus	Dechloromonas	Dechlorospirillum	Denitratisoma	Denitrificimonas	Diaphorobacter	Dinoroseobacter	Ferribacterium	Filomicrobium	Hahella	Halioglobus	Halomonas	Halopseudomonas	Herbaspirillum	Hydrogenophaga	Hydrogenophilus	Idiomarina	Jhaorihella	Kangiella	Ketobacter	Labrenzia	Leptothrix	Luteimonas	Magnetospirillum	Marinobacter	Melaminivora	Nitrogeniibacter	Niveibacterium	Noviherbaspirillum	Oryzomicrobium	Ottowia	Paracoccus	Parazoarcus	Permianibacter	Pistricoccus	Polymorphum	Profundibacter	Pseudomonas	Pukyongiella	Pulveribacter	Ralstonia	Ramlibacter	Rhodanobacter	Rhodobacter	Rhodoblastus	Roseibium	Roseiflexus	Roseobacter	Rubrivivax	Ruegeria	Sedimentitalea	Sideroxydans	Simplicispira	Sinimarinibacterium	Skermanella	Sphaerotilus	Steroidobacter	Stutzerimonas	Sulfidibacter	Sulfitobacter	Sulfuricaulis	Sulfuriflexus	Sulfurifustis	Sulfuritalea	Sulfuritortus	Thalassobius	Thalassolituus	Thauera	Thermomonas	Thioalkalivibrio	Thiobacillus	Thiohalomonas	Thiothrix	Unclassified Bacteria	Unclassified family	Undibacterium	Usitatibacter	Venatoribacter	Wenzhouxiangella	Woeseia
CI	0.1173128295006431	0.13003349775974898	0.3830334553575215	0.0	0.6332065977866037	3.25790448191545	0.0	0.0	1.8190555610521404	0.0	0.026854744102556855	20.174979858941924	0.031094966855592147	0.0	0.08621786264505095	0.0	0.1908100238865882	0.2303854362482509	0.0	0.0	0.09752512331981172	0.04381563511469802	1.910927054034572	0.1328603129284392	0.0	0.04381563511469802	0.0	0.14134075843450977	5.026077369931167	0.0	0.0	7.283289282130288	0.0	1.2522791197297565	0.1865698011335529	0.2742010713629489	0.045229042699043126	0.022614521349521563	0.0	0.0	0.0565363033738039	0.0	0.13568712809712938	0.13568712809712938	0.014134075843450975	0.014134075843450975	0.07067037921725489	0.009893853090415683	5.389323119107857	0.0	0.004240222753035293	0.0	0.005653630337380391	0.018374298596486267	0.41836864496614895	0.018374298596486267	0.2614804031038431	0.0	0.0	0.022614521349521563	10.86345069327642	0.046642450283388225	0.0	0.0	0.06077652612683919	0.37455300985145085	0.0	0.004240222753035293	28.69500077737417	1.6607539116054897	0.016960891012141172	0.0028268151686901954	0.0	0.4537038345747763	0.6445138584613646	0.0	0.0	0.0	0.1229664598380235	2.0452007745473564	0.062189933711184295	0.4310893132252548	0.3943407160322822	0.12720668259105877	0.0	2.850843097624062	0.0	0.0551228957894588	0.0	0.8989272236434821	0.07208378680159998
LC	0.433488430578367	0.31007201264293627	0.24417915834330506	0.0002857806568137661	1.2769088004520233	2.5202587866324873	0.0019188129814638585	0.027434943054121547	5.035536824674792	0.0	0.10210534609874701	3.1183977013437	0.038417085437393424	0.0	0.5026473495272984	0.0	0.5090978272096662	0.6710946338149554	0.0001224774243487569	0.003919277579160221	0.36984099572512963	0.225562589842294	9.142817250210356	0.16130276786731285	0.000653212929860037	0.4214856429921888	0.006083045409321594	0.07773233865334439	11.215339399231903	0.0004899096973950276	0.009144981018040515	0.30827567708582115	0.0057564389443915745	2.66445554089909	0.910007262911264	1.0613893594063273	0.016820232943895952	0.38388507371712044	0.051685473075175424	0.0001224774243487569	0.01873904592535981	0.008246813239482967	0.4892973102732839	0.22956351903768668	0.13958343794946662	0.24328099056474747	0.146278870480532	0.01220691662675944	14.238735445089084	0.006287174449902855	0.027802375327167818	0.0019596387895801106	0.0029802839924864184	0.0363757950315808	0.7685458377884496	0.007389471269041667	1.1712516090471625	0.0	8.165161623250462e-05	0.1581183548342452	13.141541851964803	0.10243195256367703	0.014329858648804558	0.013268387637781999	0.050134092366757824	1.0134598606778473	0.04041755003508978	0.05642126681666068	3.7870427866716803	4.827774287171184	0.02976201411674793	0.030660181895305484	0.005960567984972837	0.7048167513189798	1.26245646437887	0.0009389935866738031	0.0010614710110225598	0.0001224774243487569	0.5993228631465839	3.9385881863992083	0.22258230584980757	1.0686971790591366	0.15795505160178017	0.2005363694670313	0.003633496922346455	6.999380672490877	0.02392392355612385	0.3453863366634945	0.0	1.7095807148680653	0.11235262393592635
NP	0.2900127322662946	0.1368352756950305	0.12317613944026812	0.0	1.2768853266728784	2.41254494099741	0.0	0.0036586972110970724	1.9095960310452655	0.0	0.035123493226531896	21.1782468498617	0.0065856549799747305	0.000975652589625886	0.08976003824558151	0.0	0.3202579625446971	0.39733451712514206	0.0	0.000975652589625886	0.3958710382407032	0.05122176095535901	5.151933499519491	0.11073656892253807	0.0	0.1361035362528111	0.0	0.03048914342580894	9.01893253850169	0.0	0.0	0.24025445019537442	0.0	1.5468971808518421	0.5244132669239138	0.3592840661297325	0.009268699601445917	0.03536740637393837	0.007317394422194145	0.0	0.03585523266875131	0.001463478884438829	0.3770897258904049	0.15878745896161295	0.05146567410276549	0.00975652589625886	0.11244396095438337	0.006097828685161788	18.39544175110127	0.000975652589625886	0.0031708709162841294	0.0	0.0	0.02731827250952481	0.5751472015844598	0.0031708709162841294	0.23610792668946443	0.0	0.0	0.08585742788707798	7.708143284339313	0.02097653067695655	0.0065856549799747305	0.0	0.11293178724919631	0.5768545936163051	0.004634349800722959	0.06561263665234084	9.022591235712788	2.542550648565059	0.0036586972110970724	0.0504900215131396	0.002683044621471187	0.3985540828621744	1.0888282900224888	0.0	0.0	0.0	0.02097653067695655	2.6720685298378957	0.09439438804630447	0.91247908444761	0.1600070246986453	0.1909839944192672	0.007073481274787673	6.757857662043699	0.019025225497704776	0.0821987306759809	0.0	1.492992375275012	0.10463874023737628
PC	0.6042005329860289	0.08733400324154308	0.3023408560336248	0.0	1.8298438493684928	1.841632736858398	0.02919153092738446	0.0020851093519560332	3.209624864768629	0.0	0.04795751509498876	1.948534689402913	0.007859258326603509	0.0	0.13986271960812774	0.0	1.5829187841887762	0.6981106503375872	0.0	0.004009825676838525	0.16945523310319607	0.3397124313417598	6.215470388640324	0.6149468657999562	0.000320786054147082	0.048117908122062306	0.000160393027073541	0.7287457185086336	13.086547275443747	0.002887074487323738	0.0016841267842721804	0.5382789988588036	0.045712012715959184	2.972804560294546	1.2683880580975624	0.9694154556324818	0.07827179721188801	0.09960406981266896	0.008581026948434444	0.0	0.014675961977229002	0.0	1.1177790056755073	0.3220691983636703	0.010104760705633084	0.07634708088700552	0.5824672778175641	0.00481179081220623	11.850719001842114	0.00320786054147082	0.03328155311775976	0.0008821616489044756	0.0010425546759780166	0.2943212046799477	0.519593211204736	0.016680874815648266	1.287715417859924	0.0	0.0005613755947573935	0.11981359122393512	12.526775610957088	0.02301639938505313	0.003849432649764984	0.003448450082081132	0.04891987325743001	0.5498272968080985	0.000641572108294164	0.04851889068974615	3.7544799777374482	7.194509425897219	0.052929698934268535	0.013954193355398067	0.007297882731846115	1.0882666886939756	1.3445747459574944	0.000962358162441246	0.0016841267842721804	0.0	0.025823277358840102	5.85201978929168	0.05822266882769538	2.0137344549083074	0.22847986706625917	0.21612960398159653	0.0008821616489044756	8.206749819758336	0.0	0.28854705570530026	0.0	0.523442643854501	0.14162704290593672
PI	0.3230989990987145	0.28574308619135713	0.5774156823680091	0.0	1.5002846164792942	5.217790901759878	0.0016009676960296003	0.02158341634647313	2.735579431715763	0.00047436079882358525	0.09398273326692282	2.285411033632181	0.09167022437265784	0.0	0.17290451117119682	0.0	0.39899672691048815	1.0963071011811585	0.0	0.005336558986765334	0.2948152364688582	0.10501162183957118	6.513329538446942	0.24482946729282293	0.00011859019970589631	0.7462288316493525	0.0	0.1621720980978132	12.955742137469759	0.0	0.018500071154119824	0.6783952374175798	0.0006522460983824297	3.237690337270528	0.8327996774346569	0.8985579431715762	0.10026801385133532	0.07305156301883213	0.010376642474265927	0.0	0.06664769223471372	0.012274085669560267	0.5717826478819791	0.3909325933304872	0.03273089511882738	0.023243679142355676	0.12416393909207343	0.0029054598927944594	10.366147241591955	0.02442958113941464	0.016484037759119587	0.0	0.015891086760590107	0.08265736919500973	1.0170888477776197	0.01701769365779612	2.0016246857359707	0.00023718039941179262	0.0	0.11011100042692473	15.121317774299131	0.07951472890280348	0.00450642758882406	0.00023718039941179262	0.09416061856648167	1.288838290403681	0.0	0.28497224989326886	6.1213889284189555	3.3892486124946637	0.033679616716474556	0.021879891845737867	0.009131445377354016	0.588978226839334	1.1867914235567572	0.0	0.0	0.0	0.509937858735354	3.6260732413073384	0.06694416773397846	0.9792585740714387	1.0973744129785115	0.25040320667900007	0.0	6.945590816374934	0.18731322043546322	0.14230823964707556	0.0	1.2450192116123522	0.16804231298325506
SI	1.3161490573623698	0.24729065308102213	0.34592075348055035	0.0	0.8635380066894864	4.143608860111708	0.0012877237479628925	0.06171535295792529	3.419478872507241	0.0	0.027709907317275576	5.685968055866226	0.011446433315225713	0.0	0.2621233229186688	0.0009061759707887021	0.2719481781809042	1.386926170028182	0.0	0.006915553461282201	0.3460638338969907	0.18757842595326135	7.080906729215066	0.20722813647773217	0.0	0.09056990360672344	0.0	0.06767703697627202	9.229259182066492	0.0	0.025325233709936886	0.490861215334596	0.0007630955543483807	3.8501509259926086	1.3731427565777645	0.6288861237273593	0.02999919398032072	0.09080837096745731	0.028282228983036863	0.0033385430502741657	0.04239949673848191	0.005055508047558023	0.6186797206879497	0.22296698228616751	0.016215780529903093	0.1348771392310763	0.4281919929337351	0.015595765391995033	11.29801122990495	0.0024323670794854637	0.003910864716035451	0.0	0.000715402082201607	0.08985450152452183	0.5282528974976666	0.041636401184133524	2.4290285364351893	0.0	0.0	0.13711873242197467	8.853673088910648	0.11455972009655067	0.010254096511556367	0.0005723216657612856	0.12056909758704416	1.777249546077379	0.00238467360733869	0.08055427445590094	8.187252202603776	4.303286604859107	0.00953869442935476	0.025802168431404624	0.0029093018009532018	0.5028322768434361	2.4609354693013814	0.0005723216657612856	0.0011446433315225712	0.0	0.12605384688392315	3.8269718985292767	0.10072861317398625	0.6616992325643397	0.2244454799227175	0.4101161669901079	0.06037993573781563	8.643201796326935	0.006820166516988653	0.20594041272976926	0.0	1.2634000771680378	0.21743453951714176
SW	1.562510225138462	0.07765651823946565	0.13524449805749636	0.0	1.1713918622076702	2.1189758937589027	0.0	0.01614208525202376	8.642777834735586	0.0	0.16491103311526975	3.554094527178691	0.005017134605358736	0.0	0.4700836988933946	0.0	2.8285732359863798	0.9785593843321431	0.0	0.004362725743790205	0.5139290926184862	0.044281666299470585	5.221964579029686	0.10230591869188031	0.0	0.11168577904102925	0.0	0.05082575491515589	7.015917404876218	0.0	0.0	0.25194741170388435	0.0006544088615685308	1.72371294137151	1.4143956861367846	1.0184783248878233	0.0	0.045808620309797154	0.1337175440471698	0.0	0.011343086933854534	0.003490180595032164	0.5501397162919449	0.10274219126625934	0.02443126416522515	0.06216884184901043	0.3045182569165563	0.0	7.427540578802824	0.07133056591096985	0.008943587774769921	0.0	0.0006544088615685308	0.029884671344962904	0.6901832126676105	0.0	7.5944148385028	0.0	0.0013088177231370616	0.034465533375942624	16.2764572049325	0.06282325071057895	0.0	0.004798998318169226	0.11059509760508171	0.9035205015389516	0.013088177231370617	0.06042375155149434	7.353374241158391	6.518130397509757	0.019414129559866412	0.018759720698297885	0.0	0.6729504459796392	1.1122769283793128	0.0	0.0	0.0	0.14178858667318167	3.2242724609481512	0.0722031110597279	0.8731995576196095	0.07351192878286496	0.1040510089893964	0.0013088177231370616	4.929007545334175	0.0	0.05475220808456708	0.0	0.8777804196505893	0.22402596694362703
YTW	1.0855407587579018	0.048131947672122234	0.16405278347788227	0.0	1.2260786975715412	1.4895184417006375	0.030495814173940042	0.004409033374545548	8.450279881764422	0.0	0.024249683560000516	0.1451306819121243	0.061359047795758875	0.0	0.14788632777121524	0.0	1.4926415070076073	5.943376988887398	0.0	0.003123065306969763	0.203182954676974	0.10985841491575991	7.4317931722444	0.526879488258193	0.0	0.07183050206030456	0.0	1.4724334373742738	8.923332420908372	0.0	0.0064298403378789245	0.6536391977763776	0.00936919592090929	3.497098304910377	1.330425820769119	1.177028201279722	0.05235727132272838	0.07458614791939552	0.009736615368788086	0.0	0.036925654511818964	0.0	0.7352063152054701	0.25002893428152045	0.0007348388957575913	0.01763613349818219	0.3428023448709164	0.0	10.388601179049008	0.002939355583030365	0.004960162546363741	0.0	0.0	0.1026937356821234	0.9732941174309298	0.29283329995940016	1.3697397016921502	0.0	0.0	0.08873179666272915	7.960877177189866	0.018187262670000384	0.001285968067575785	0.0	0.02627049052333389	0.3806465480024323	0.0	0.14164019715727572	4.153125729097966	3.5147344384085595	0.009736615368788086	0.010655163988485074	0.11334889967060846	1.049166233417901	0.8762953831909276	0.01359451957151544	0.00514387227030314	0.0009185486196969892	0.02976097527818245	7.540733038540464	0.07697437433060769	3.393486020608557	0.13502664709545742	0.11941132056060859	0.0005511291718181935	7.848446826138954	0.006980969509697117	0.2898939443763698	0.00036741944787879564	1.6103994400527615	0.19895763102636788
