	SI_ACRO_T2	LC_OUL_M1	PC_PLAT_M1	PI_PLAT_T1	PC_OUL_S2	SI_OUL_M3	PI_PORI_T1	LC_OUL_S3	PC_LEPT_M1	PI_PORI_S3	LC_PLAT_S1	PI_PLAT_S2	LC_OUL_T3	SI_PLAT_T2	PC_LEPT_S1	LC_PLAT_T1	LC_PORI_S1	PI_PLAT_T3	PI_PORI_S2	SI_PLAT_S2	LC_PLAT_M3	LC_PORI_S2	NP_PORI_S1	NP_PORI_T1	LC_PORI_T2	SI_ACRO_T1	PI_OUL_T1	LC_PLAT_T3	LC_OUL_T1	SI_OUL_T3	YTW_OUL_S2	SI_PLAT_M2	SI_OUL_M1	YTW_OUL_S1	LC_ACRO_T1	PC_FAVI_S1	SI_ACRO_T3	YTW_OUL_S3	PC_OUL_S1	CI_ACRO_T2	SI_OUL_T1	SI_OUL_S3	PI_PLAT_M2	PI_OUL_T3	PI_PORI_T3	PC_OUL_T2	LC_PLAT_M1	SI_PLAT_T1	LC_PLAT_S3	PC_OUL_T1	PC_PLAT_S1	PC_OUL_S3	YTW_OUL_T1	LC_OUL_S1	PI_PLAT_M3	YTW_OUL_T2	LC_PORI_T1	PI_OUL_S1	SI_PLAT_S1	PC_FAVI_T1	PI_OUL_T2	PI_PORI_S1	CI_ACRO_T1	PC_PLAT_T1	PI_PLAT_T2	LC_PORI_T3	YTW_OUL_T3	PI_OUL_S2	PC_OUL_T3	SI_OUL_S1	PI_PORI_T2	PC_LEPT_T1	SI_PLAT_M1	PI_PLAT_S1	SI_PLAT_T3	SI_OUL_M2	NP_ACRO_T2	LC_PLAT_M2	LC_PLAT_S2	SW_OUL_M1	SW_OUL_T1	SI_PLAT_S3	SI_OUL_T2	LC_PLAT_T2	SI_PLAT_M3	SW_OUL_S1	LC_OUL_S2	NP_ACRO_M2	LC_OUL_M2	LC_OUL_T2	SI_OUL_S2	sum	genus	family
ASV000011	181	246	611	351	768	187	368	183	722	116	99	157	519	246	896	233	50	299	201	43	254	226	150	361	507	231	502	67	493	145	989	154	375	78	229	1050	169	551	822	93	159	121	167	264	432	1088	119	128	101	1084	1976	364	1147	83	175	1925	655	124	88	1092	465	58	131	2414	367	671	2503	149	526	99	113	1216	61	371	93	57	21	0	459	1265	0	29	143	1099	86	332	253	54	496	608	180	39533	Ruegeria	Roseobacteraceae
ASV000012	0	473	14	9	5	875	7	243	22	0	0	30	258	11	0	0	332	19	0	7	0	0	0	0	22	14	9	0	247	0	0	10	694	0	14	0	11	0	0	398	9	0	0	7	0	5	722	771	7	0	0	9	463	29523	0	0	5	11	0	9	21	0	14	0	1150	513	0	622	6	0	18	525	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38141	Pseudomonas	Pseudomonadaceae
ASV000013	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	15	24	34	0	0	0	12	15	23	0	0	0	0	0	7	0	0	0	15	0	23	0	21	9	0	0	1024	0	0	507	19	0	649	19814	26	35	424	25	9914	439	552	18	1040	871	12	566	36174	Jhaorihella	Rhodobacteraceae
ASV000014	54	46	45	0	975	73	56	804	41	0	0	62	102	38	236	59	372	38	19	0	50	0	0	0	0	28	22	0	37	0	493	0	123	38	54	13	25	18	118	25	0	0	0	22	0	57	49	49	0	19	122	28	23	1050	0	92	13	0	27	42	0	0	0	53	154	34	63	25	41	0	37	52	18	28	68	371	32	14	35	1346	421	16	392	1298	58	24053	559	64	327	609	0	35825	Roseibium	Stappiaceae
ASV000015	28	0	42	0	15	11	11	12	0	0	19558	134	0	798	241	2887	9	45	474	376	1606	5	10	204	0	0	27	36	0	0	232	519	127	9	612	167	0	0	0	0	206	18	0	307	0	262	56	658	505	0	0	9	11	0	10	12	19	9	262	10	0	0	0	0	740	0	14	11	0	43	15	124	433	18	63	0	24	2083	39	72	157	41	0	53	45	0	0	94	0	0	512	35130	Bradyrhizobium	Nitrobacteraceae
ASV000016	124	65	141	62	123	64	24	159	119	0	12	58	98	0	33	152	36	203	239	340	207	0	52	0	44	26	0	157	74	289	0	55	1310	59	26	7	70	0	19	73	118	1612	0	81	11	0	261	99	15	10	0	33	45	510	67	0	47	423	109	52	43	13	0	58	57	75	20	2062	15	3602	34	114	76	63	1137	250	44	125	78	850	2056	0	408	267	199	3422	6227	118	324	2263	1122	33135	Sulfidibacter	Acanthopleuribacteraceae
ASV000017	14	44	18	50	186	535	6	0	6	32	0	5	0	7	0	0	0	24	0	271	12	6	0	0	0	111	0	499	6	27	0	0	0	474	0	0	6	25	281	6	5	0	41	10	370	351	13	0	31	260	21	23990	0	0	5	0	6	0	0	206	106	300	0	310	16	0	0	0	3211	0	0	336	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32242	Sulfidibacter	Acanthopleuribacteraceae
ASV000018	136	896	172	150	70	204	108	896	146	97	32	161	1003	83	77	69	315	145	54	264	102	59	875	132	102	130	453	64	935	424	48	89	166	30	135	147	113	16	83	41	376	415	75	370	126	135	67	51	75	114	111	68	22	195	92	31	1022	358	204	159	493	35	87	56	303	367	66	88	87	68	144	153	321	87	526	162	19	63	1005	636	92	3671	969	80	226	156	2545	295	1116	1813	1088	30105	Stutzerimonas	Pseudomonadaceae
ASV000019	5	178	11	448	89	8	158	0	9	183	222	8634	0	299	0	191	6	274	460	135	11	5	104	2112	7	423	144	0	0	118	24	206	270	116	46	8	0	148	5	64	14	0	366	175	11	22	8	255	10462	0	126	6	0	8	62	0	14	150	259	7	23	4	39	7	443	48	174	110	202	0	590	0	143	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29066	Unclassified family	Pseudomonadaceae
ASV000020	178	85	234	491	701	157	246	50	184	109	89	115	0	135	675	71	124	309	151	81	91	298	152	207	716	129	1724	90	375	0	51	77	123	101	130	944	102	78	369	86	132	86	147	114	128	660	0	78	69	353	545	2552	121	52	231	42	1144	1052	290	1184	176	49	74	379	199	605	82	78	1223	82	541	510	118	1768	95	41	17	0	449	163	70	17	93	364	44	405	108	0	260	93	90	27201	Jhaorihella	Rhodobacteraceae
