	SI_ACRO_T2	LC_OUL_M1	PC_PLAT_M1	PI_PLAT_T1	PC_OUL_S2	SI_OUL_M3	PI_PORI_T1	LC_OUL_S3	PC_LEPT_M1	PI_PORI_S3	LC_PLAT_S1	PI_PLAT_S2	LC_OUL_T3	SI_PLAT_T2	PC_LEPT_S1	LC_PLAT_T1	LC_PORI_S1	PI_PLAT_T3	PI_PORI_S2	SI_PLAT_S2	LC_PLAT_M3	LC_PORI_S2	NP_PORI_S1	NP_PORI_T1	LC_PORI_T2	SI_ACRO_T1	PI_OUL_T1	LC_PLAT_T3	LC_OUL_T1	SI_OUL_T3	YTW_OUL_S2	SI_PLAT_M2	SI_OUL_M1	YTW_OUL_S1	LC_ACRO_T1	PC_FAVI_S1	SI_ACRO_T3	YTW_OUL_S3	PC_OUL_S1	CI_ACRO_T2	SI_OUL_T1	SI_OUL_S3	PI_PLAT_M2	PI_OUL_T3	PI_PORI_T3	PC_OUL_T2	LC_PLAT_M1	SI_PLAT_T1	LC_PLAT_S3	PC_OUL_T1	PC_PLAT_S1	PC_OUL_S3	YTW_OUL_T1	LC_OUL_S1	PI_PLAT_M3	YTW_OUL_T2	LC_PORI_T1	PI_OUL_S1	SI_PLAT_S1	PC_FAVI_T1	PI_OUL_T2	PI_PORI_S1	CI_ACRO_T1	PC_PLAT_T1	PI_PLAT_T2	LC_PORI_T3	YTW_OUL_T3	PI_OUL_S2	PC_OUL_T3	SI_OUL_S1	PI_PORI_T2	PC_LEPT_T1	SI_PLAT_M1	PI_PLAT_S1	SI_PLAT_T3	SI_OUL_M2	NP_ACRO_T2	LC_PLAT_M2	LC_PLAT_S2	SW_OUL_M1	SW_OUL_T1	SI_PLAT_S3	SI_OUL_T2	LC_PLAT_T2	SI_PLAT_M3	SW_OUL_S1	LC_OUL_S2	NP_ACRO_M2	LC_OUL_M2	LC_OUL_T2	SI_OUL_S2	sum	genus	family
ASV001647	8	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	77	0	0	0	0	13	19	0	14	0	0	0	27	0	0	0	0	0	9	0	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	26	23	0	0	0	0	0	0	548	0	110	37	0	1052	Azoarcus	Zoogloeaceae
ASV001648	6	58	0	46	0	0	0	25	13	39	0	4	12	0	0	0	0	17	12	5	0	6	0	8	16	10	0	0	0	43	0	17	0	0	0	0	6	0	0	0	94	0	7	66	5	0	0	0	0	0	0	0	0	0	5	0	0	213	0	0	44	0	4	5	8	0	0	6	0	0	0	0	107	7	0	0	0	0	0	0	0	0	65	0	0	0	26	0	29	0	17	1051	Unclassified family	Chromatiaceae
ASV001649	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	327	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1051	Pseudomonas	Pseudomonadaceae
ASV001650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	76	0	0	80	0	0	0	0	0	0	88	0	0	0	290	83	0	0	0	0	52	0	0	0	104	0	0	0	0	0	0	0	0	57	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	1050	Ruegeria	Roseobacteraceae
ASV001651	19	0	13	0	0	0	5	12	6	0	5	4	45	0	4	0	5	4	8	0	0	4	197	158	0	13	6	0	32	0	0	0	7	0	11	0	9	0	0	5	13	0	11	28	49	10	0	0	0	0	0	0	0	0	7	8	83	0	0	7	0	0	3	0	17	0	9	0	0	0	7	11	0	0	0	0	0	0	50	0	0	0	49	0	0	0	14	9	92	0	0	1049	Thiobacillus	Thiobacillaceae
ASV001652	9	0	967	0	0	0	0	0	11	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	4	0	0	6	0	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1049	Ruegeria	Roseobacteraceae
ASV001654	0	0	4	0	0	4	0	0	9	0	0	0	20	0	0	0	0	2	0	0	0	0	0	135	29	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	3	0	0	33	0	0	0	0	0	0	0	43	0	0	0	0	0	4	0	9	0	0	0	0	0	0	0	0	0	50	16	0	0	43	20	9	0	11	0	3	12	307	0	149	117	0	1047	Halomonas	Halomonadaceae
ASV001655	17	0	0	15	0	11	0	0	25	0	0	6	0	0	0	0	0	14	14	5	0	0	0	10	0	16	23	10	0	0	0	4	0	13	25	40	0	0	0	0	56	64	10	188	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	2	0	22	0	19	0	16	0	0	0	0	12	18	0	0	0	0	13	0	0	37	0	0	0	111	0	0	0	52	1044	Ruegeria	Roseobacteraceae
ASV001656	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	297	78	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	349	0	0	0	37	0	41	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	1044	Aromatoleum	Rhodocyclaceae
ASV001657	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	3	0	13	0	0	0	0	0	0	0	27	0	0	0	0	4	0	0	0	0	0	0	0	844	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1044	Ruegeria	Roseobacteraceae
ASV001658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	40	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	12	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1044	Halomonas	Halomonadaceae
ASV001661	0	0	0	0	0	0	43	0	0	0	0	0	0	33	0	0	0	26	0	0	25	11	93	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	19	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1043	Skermanella	Azospirillaceae
ASV001662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	2	0	0	0	16	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	10	0	8	0	0	0	0	947	10	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1043	Roseibium	Stappiaceae
ASV001663	11	35	6	9	0	5	10	0	0	14	0	0	13	0	0	0	24	12	0	0	0	28	66	0	0	0	0	5	29	32	0	0	0	0	15	0	7	0	0	0	9	0	9	0	58	0	6	4	0	0	0	0	0	0	0	0	23	3	0	0	21	22	0	0	0	64	0	0	0	0	8	0	0	0	11	0	0	0	18	0	0	0	0	0	406	0	14	15	12	18	0	1042	Dinoroseobacter	Roseobacteraceae
ASV001664	0	21	0	0	0	24	31	407	0	0	0	0	322	26	0	0	0	0	4	0	24	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	5	0	0	0	0	0	0	28	50	57	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1042	Hahella	Hahellaceae
ASV001665	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	112	0	0	0	0	0	0	0	0	0	9	0	33	0	30	603	0	0	0	7	52	0	0	0	69	0	1042	Pseudomonas	Pseudomonadaceae
ASV001666	0	0	0	71	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	41	39	0	0	0	32	0	0	0	0	0	38	21	36	19	42	47	0	0	0	0	0	29	0	0	0	40	20	0	0	0	0	116	0	0	0	0	0	20	14	0	5	88	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1041	Sulfurifustis	Acidiferrobacteraceae
ASV001667	0	0	0	0	28	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	4	0	0	0	0	0	0	40	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	19	0	0	9	0	0	803	4	0	54	8	0	0	8	0	0	19	0	0	12	1041	Ruegeria	Roseobacteraceae
ASV001668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	49	19	260	0	0	0	26	0	0	45	1041	Halomonas	Halomonadaceae
ASV001669	0	0	12	0	97	0	0	14	0	0	0	0	0	22	35	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	409	0	0	0	0	0	0	77	0	0	0	74	14	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	32	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1040	Parazoarcus	Zoogloeaceae
ASV001670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	13	3	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	817	0	0	0	20	12	65	6	0	0	14	12	0	12	9	0	1040	Unclassified family	Chromatiaceae
ASV001671	9	0	10	45	0	7	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	23	0	7	0	65	54	0	3	6	0	0	0	0	2	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	520	0	3	0	0	2	0	0	8	0	8	4	0	0	2	0	144	0	4	0	7	0	0	0	0	0	0	0	0	0	0	0	23	0	68	0	0	1039	Luteimonas	Xanthomonadaceae
ASV001672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	43	0	78	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	38	0	32	0	55	405	0	1039	Ruegeria	Roseobacteraceae
ASV001673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	914	0	0	0	13	24	63	0	0	0	0	0	0	0	25	0	1039	Unclassified family	Chromatiaceae
ASV001674	12	5	11	51	4	6	20	18	8	6	0	3	7	0	14	0	2	12	15	0	0	44	0	0	154	8	7	0	188	0	0	4	8	0	4	13	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	4	0	18	0	0	4	4	9	4	0	0	0	2	42	0	0	42	4	0	0	0	79	0	0	3	0	0	0	3	0	0	168	2	8	1037	Jhaorihella	Rhodobacteraceae
ASV001676	0	0	0	0	6	0	0	0	0	0	0	16	0	0	0	8	0	12	0	0	0	0	7	25	0	0	530	0	0	0	0	0	8	0	0	0	0	0	0	29	0	0	32	0	0	0	8	10	0	0	0	0	0	0	19	0	0	0	11	0	95	0	21	0	0	8	13	171	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1035	Wenzhouxiangella	Wenzhouxiangellaceae
ASV001677	0	0	0	0	6	0	0	0	36	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	8	6	0	0	0	14	0	0	0	0	0	0	0	0	0	6	0	0	23	0	27	0	0	0	27	0	16	0	17	0	0	7	384	5	112	19	7	22	0	0	31	0	0	0	0	0	0	31	0	0	0	0	0	16	0	0	0	0	175	0	1035	Thermomonas	Xanthomonadaceae
ASV001678	9	0	6	0	68	7	8	0	11	0	7	3	3	5	39	0	5	3	6	0	5	105	2	0	4	7	0	7	0	0	5	0	3	3	8	14	7	2	58	4	0	3	0	0	0	99	9	10	0	82	39	11	8	0	0	0	0	0	0	10	3	4	0	136	8	10	0	0	14	3	3	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	1034	Sulfuritalea	Sterolibacteriaceae
ASV001679	0	2	0	17	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	3	0	0	0	0	0	2	0	0	48	33	0	31	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	645	0	0	0	14	0	43	76	0	0	9	8	9	10	8	0	1033	Luteimonas	Xanthomonadaceae
ASV001680	0	0	9	0	0	6	17	0	0	0	0	0	21	7	0	13	0	15	17	7	16	14	0	0	48	0	89	12	31	6	0	0	0	0	12	0	0	0	0	0	101	16	0	22	63	14	0	0	0	0	0	0	0	0	12	9	39	0	0	0	26	0	7	5	20	16	0	0	0	6	0	0	158	0	0	0	0	0	13	0	0	0	146	0	0	0	0	20	0	0	0	1033	Unclassified family	Chromatiaceae
ASV001682	0	0	0	0	81	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	61	0	635	0	0	0	0	0	1028	Roseibium	Stappiaceae
ASV001683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	960	0	0	0	0	0	0	0	0	0	0	1028	Ruegeria	Roseobacteraceae
ASV001684	0	0	21	0	0	0	12	60	17	13	0	0	16	0	0	20	0	0	0	0	13	0	0	0	18	17	0	0	0	26	29	0	0	0	0	0	0	49	27	0	0	21	9	17	0	37	0	0	0	76	0	32	63	0	0	71	0	0	0	47	0	0	0	0	13	59	58	0	122	0	0	37	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1027	Jhaorihella	Rhodobacteraceae
ASV001685	0	0	14	18	0	30	0	0	18	0	7	12	0	0	0	0	0	18	0	14	0	0	0	0	0	0	0	22	0	0	106	0	0	627	0	0	0	13	0	0	0	0	0	0	15	0	0	0	0	16	0	26	13	0	0	0	0	17	0	0	0	11	0	0	0	0	0	15	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1026	Dinoroseobacter	Roseobacteraceae
ASV001687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1026	Cupriavidus	Burkholderiaceae
ASV001688	13	0	54	0	0	0	0	0	36	0	0	0	8	0	127	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	219	0	0	0	120	0	0	0	0	0	29	0	0	0	0	0	0	0	0	87	0	0	0	12	12	0	0	11	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	1025	Roseibium	Stappiaceae
ASV001689	3	0	30	0	0	0	23	9	30	0	0	0	0	15	41	0	4	6	10	0	15	4	0	0	0	0	0	0	4	0	59	0	6	0	7	76	0	34	56	0	4	0	0	5	0	29	0	5	0	28	17	0	147	0	8	224	0	0	0	45	0	0	0	0	6	0	58	0	13	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1025	Pseudomonas	Pseudomonadaceae
ASV001690	0	5	0	10	0	0	5	20	10	4	0	0	6	0	0	5	153	0	4	2	7	33	4	0	41	8	0	7	5	27	0	4	6	0	9	0	9	7	0	0	51	56	0	0	21	0	3	0	0	15	0	0	0	3	0	0	70	3	0	20	30	6	3	0	10	9	8	11	0	0	38	0	2	9	0	5	0	0	0	0	0	0	83	30	3	0	22	7	0	106	10	1025	Jhaorihella	Rhodobacteraceae
ASV001691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	225	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	133	0	0	0	0	0	0	0	0	0	68	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	1025	Thermomonas	Xanthomonadaceae
ASV001692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	12	15	0	0	22	0	0	884	0	0	13	0	37	16	1025	Ruegeria	Roseobacteraceae
ASV001693	8	0	11	0	3	0	5	0	13	0	0	0	0	0	12	0	0	6	0	0	6	23	56	0	0	14	8	0	8	0	2	0	0	0	7	0	10	18	16	0	0	40	0	26	19	0	0	3	0	8	3	0	0	0	0	6	0	5	0	0	62	0	3	54	4	31	14	0	0	0	0	0	0	13	0	0	0	0	23	241	9	0	11	0	8	5	13	0	0	178	19	1024	Marinobacter	Marinobacteraceae
ASV001694	0	18	0	71	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	53	0	0	155	0	0	0	0	110	0	0	0	0	0	0	0	0	0	19	279	0	0	0	0	0	0	0	0	0	0	24	1023	Sulfuritalea	Sterolibacteriaceae
ASV001695	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	12	0	4	0	0	0	8	0	3	0	0	0	0	0	0	0	6	0	0	0	0	3	13	7	0	8	9	0	0	0	3	0	4	26	0	4	0	7	0	2	188	0	0	225	3	17	0	0	0	0	58	0	18	0	0	0	0	0	3	7	0	6	25	0	0	17	6	0	70	0	11	26	0	216	1023	Ruegeria	Roseobacteraceae
ASV001697	0	10	17	13	22	0	0	0	0	0	0	0	0	0	22	0	80	0	0	0	0	0	0	0	0	17	0	0	0	0	14	0	14	0	12	90	4	106	20	9	27	0	0	0	0	23	0	0	8	19	86	0	55	0	0	59	0	0	0	30	0	3	0	0	12	0	115	0	48	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1021	Halopseudomonas	Pseudomonadaceae
ASV001699	7	0	13	15	2	0	12	3	22	7	0	0	12	0	0	0	0	8	14	0	0	0	0	0	0	0	0	0	16	0	3	5	2	0	0	12	7	11	3	0	0	0	0	12	4	9	3	3	21	0	0	0	13	0	6	7	143	8	0	14	20	0	0	217	0	164	14	0	20	6	0	0	5	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	83	0	0	1020	Pseudomonas	Pseudomonadaceae
ASV001700	0	0	0	0	5	0	0	0	0	0	8	5	0	9	0	9	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	7	0	0	0	0	0	0	12	7	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	7	0	0	0	8	0	45	0	11	0	0	5	8	0	0	7	0	0	535	0	0	19	0	29	9	1020	Pseudomonas	Pseudomonadaceae
ASV001701	0	0	0	0	0	0	0	43	0	0	0	4	0	0	0	0	4	0	0	0	0	7	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	34	0	0	0	0	50	0	0	0	0	18	0	0	0	0	0	10	0	0	15	0	0	0	0	0	0	0	20	0	0	0	17	18	0	38	42	0	591	0	17	0	0	63	1020	Ruegeria	Roseobacteraceae
ASV001702	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	15	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	50	0	14	0	644	14	41	0	22	52	0	17	1019	Rhodobacter	Paracoccaceae
ASV001703	0	60	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0	0	0	0	15	0	218	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	12	0	0	0	0	39	0	0	151	0	11	0	0	40	0	0	361	1017	Luteimonas	Xanthomonadaceae
ASV001704	0	0	33	0	0	0	11	0	37	0	8	0	0	15	12	9	0	0	0	0	16	6	0	0	0	10	9	0	0	5	91	0	14	7	0	0	0	117	0	0	0	45	0	0	0	0	8	10	8	7	0	0	124	0	0	155	0	2	0	0	0	0	0	2	0	4	192	0	7	0	0	7	0	11	0	0	0	0	0	0	0	0	30	0	0	0	0	5	0	0	0	1017	Stutzerimonas	Pseudomonadaceae
ASV001705	0	0	0	0	37	12	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	10	0	0	0	0	0	13	0	0	0	0	0	23	0	0	0	0	31	0	4	0	0	0	7	0	0	0	0	6	0	462	0	0	0	0	0	0	0	0	0	7	0	9	0	0	0	13	24	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	132	164	0	0	19	0	1017	Ruegeria	Roseobacteraceae
ASV001706	0	0	32	0	191	0	0	0	0	0	0	0	0	0	181	0	0	0	0	426	0	0	0	0	59	0	0	0	0	0	0	0	27	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	1014	Halomonas	Halomonadaceae
ASV001707	6	65	11	46	0	7	7	0	0	4	0	0	0	5	5	0	0	12	7	0	6	0	0	79	35	10	21	0	21	89	0	0	3	0	0	0	3	27	0	7	6	3	7	6	0	0	4	0	0	0	0	0	0	3	6	0	36	0	0	5	0	0	0	0	7	36	18	0	9	5	2	0	0	5	0	0	0	0	62	169	0	0	56	0	0	0	0	9	71	0	10	1011	Azoarcus	Zoogloeaceae
ASV001708	0	26	0	2	0	21	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	19	0	0	0	0	0	0	4	0	0	0	0	0	0	13	15	0	0	0	0	7	847	0	0	0	0	0	0	0	0	0	0	19	6	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011	Sedimentitalea	Rhodobacteraceae
ASV001709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	41	0	4	10	0	0	871	0	7	8	0	0	18	0	0	6	1011	Jhaorihella	Rhodobacteraceae
ASV001710	0	30	0	0	0	0	0	0	10	0	0	0	0	8	0	0	0	0	0	4	0	0	0	0	0	3	90	4	0	65	0	659	0	0	0	0	12	3	0	4	0	4	6	0	0	0	0	5	3	0	0	0	0	0	3	0	0	5	2	0	0	0	16	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	39	0	0	0	0	6	18	0	5	1010	Stutzerimonas	Pseudomonadaceae
ASV001711	0	0	20	0	18	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	23	0	0	0	0	0	0	52	0	0	0	146	15	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	16	0	0	0	0	0	0	0	12	0	0	4	0	0	0	8	0	538	9	28	0	15	0	0	7	1009	Pseudomonas	Pseudomonadaceae
ASV001712	0	0	0	88	0	0	30	0	0	0	0	15	0	33	0	0	0	0	0	0	27	0	0	0	0	0	81	0	0	24	0	0	0	12	5	0	0	0	0	0	31	33	21	30	143	0	0	0	0	0	0	9	0	0	0	8	0	23	3	0	16	3	6	0	0	0	3	16	0	0	18	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1009	Ruegeria	Roseobacteraceae
ASV001713	0	0	0	0	54	0	0	0	0	18	0	16	77	0	37	0	0	0	20	0	0	0	0	0	7	0	0	0	0	10	0	0	28	0	0	91	0	167	0	0	0	0	16	0	0	0	0	13	0	0	0	0	96	0	0	0	0	0	17	0	4	0	0	0	0	80	78	0	52	0	0	113	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1008	Marinobacter	Marinobacteraceae
ASV001714	0	0	0	0	9	0	21	22	20	0	0	9	25	10	22	0	0	0	0	0	0	5	27	0	94	11	0	0	31	30	12	0	17	0	0	0	0	0	19	0	0	0	0	30	0	16	0	0	25	14	0	0	25	8	0	13	45	7	0	27	0	7	0	0	0	88	31	0	0	9	0	0	0	32	0	0	0	0	58	12	0	0	66	0	0	16	16	21	40	0	18	1008	Luteimonas	Xanthomonadaceae
ASV001716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	41	0	9	8	0	0	885	0	0	14	0	0	22	0	0	11	1008	Hahella	Hahellaceae
ASV001717	0	0	0	0	0	0	0	36	0	0	26	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	48	0	0	0	0	0	155	0	0	106	0	0	0	0	0	12	0	0	0	0	0	5	34	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	14	0	0	0	0	17	0	0	212	0	0	0	0	28	0	0	42	1006	Aromatoleum	Rhodocyclaceae
