Station	Unnamed: 0	Sample No	Volatile Suspended Solids (mg/L)	Unionised Ammonia (mg/L)	Turbidity (NTU)	Total Phosphorus (mg/L)	Total Nitrogen (mg/L)	Total Kjeldahl Nitrogen (mg/L)	Total Inorganic Nitrogen (mg/L)	Temperature (°C)	Suspended Solids (mg/L)	Silica (mg/L)	Secchi Disc Depth (M)	Salinity (psu)	Phaeo-pigments (μg/L)	pH	Orthophosphate Phosphorus (mg/L)	Nitrite Nitrogen (mg/L)	Nitrate Nitrogen (mg/L)	Faecal Coliforms (cfu/100mL)	E. coli (cfu/100mL)	Dissolved Oxygen (mg/L)	Dissolved Oxygen (%saturation)	Chlorophyll-a (μg/L)	Ammonia Nitrogen (mg/L)	5-day Biochemical Oxygen Demand (mg/L)	Year	Month	x	y	DIN(mg/L)	DIN(uM)	Nitrite Nitrogen (uM)	Nitrate Nitrogen (uM)	Ammonia Nitrogen (uM)
DM1	356.5	1.0	8.982608695652173	0.010608695652173913	35.72608695652174	0.32760869565217393	4.104782608695652	2.3795652173913044	3.260652173913044	20.35	62.04347826086956	6.245652173913044	1.0717391304347825	19.16521739130435	6.3	7.265217391304348	0.1917391304347826	0.3150217391304348	1.4102173913043479	34994.782608695656	24519.32608695652	5.258695652173913	65.1304347826087	11.15	1.5354347826086956	3.493478260869565	2016.1739130434783	5.913043478260869	114.010733333333	22.49615	3.2606739130434783	232.90527950310562	22.501552795031056	100.72981366459626	109.67391304347825
DM2	771.5	1.0	5.784782608695653	0.009043478260869566	24.14782608695652	0.2393478260869565	2.76195652173913	1.4276086956521739	2.2280434782608696	20.38478260869565	37.47391304347826	4.556521739130434	1.0630434782608695	22.054347826086957	5.480434782608696	7.460869565217391	0.1497608695652174	0.20845652173913046	1.1256521739130434	8337.760869565218	6100.847826086957	5.952173913043478	75.02173913043478	12.678260869565218	0.8939565217391304	2.2869565217391306	2016.1739130434783	5.913043478260869	113.992483333333	22.5075666666666	2.2280652173913045	159.14751552795033	14.889751552795033	80.40372670807453	63.85403726708074
DM3	1212.8	1.0	2.282	0.0046	10.101999999999999	0.1182	1.3664	0.6064	1.0408	20.578000000000003	11.948	2.4096	1.37	26.304000000000002	2.3080000000000003	7.69	0.07238	0.09215999999999999	0.66738	274.46	151.82	6.544	84.8	6.414	0.28082	1.1179999999999999	2016.5	5.8	113.959183333333	22.4766666666666	1.04036	74.31142857142856	6.582857142857143	47.67	20.05857142857143
DM4	1980.5	1.0	1.7858695652173915	0.0045	6.647826086956522	0.07510869565217392	1.0803260869565217	0.49532608695652175	0.8157608695652173	20.71195652173913	10.42282608695652	1.9677173913043478	1.6043478260869564	27.678260869565218	1.1945652173913044	7.753260869565217	0.0405	0.07555434782608696	0.5088586956521739	308.07608695652175	199.3586956521739	6.593478260869565	85.91304347826087	3.622826086956522	0.2306304347826087	0.7902173913043479	2016.1739130434783	5.913043478260869	113.932283333333	22.4555833333333	0.8150434782608695	58.21739130434782	5.396739130434782	36.34704968944099	16.47360248447205
DM5	2964.5	1.0	1.5159420289855072	0.003956521739130435	6.071739130434782	0.06115942028985507	0.873768115942029	0.46557971014492755	0.5803623188405798	20.730434782608697	8.289855072463768	1.5107246376811594	1.8413043478260869	29.534782608695654	0.8152173913043478	7.836956521739131	0.026282608695652177	0.0578768115942029	0.34954347826086957	931.8695652173913	486.1449275362319	6.660869565217392	88.01449275362319	2.834057971014493	0.17198550724637682	0.7514492753623189	2016.1739130434783	5.913043478260869	113.8898	22.4260166666666	0.5794057971014492	41.38612836438923	4.134057971014493	24.967391304347824	12.284679089026914
EM1	1095.8510638297873	1.0	0.9049645390070922	0.001276595744680851	2.8865248226950353	0.03539007092198582	0.40205673758865246	0.29624113475177305	0.1452482269503546	20.064539007092197	3.8780141843971627	0.7318439716312056	3.3255319148936167	32.42978723404256	0.750354609929078	7.927659574468085	0.013808510638297872	0.018546099290780143	0.0868581560283688	124.86524822695036	69.63829787234043	6.9822695035460995	92.55319148936171	2.398581560283688	0.03951063829787234	0.5631205673758866	2016.2553191489362	5.851063829787234	114.255583333333	22.2751	0.14491489361702128	10.351063829787234	1.3247213779128673	6.204154002026343	2.8221884498480243
EM2	2374.4	1.0	0.9613333333333333	0.0011	2.990666666666667	0.037866666666666667	0.41300000000000003	0.3152	0.13086666666666666	20.002000000000002	4.507333333333333	0.7138	3.326	32.48066666666667	0.7506666666666666	7.936000000000001	0.012573333333333332	0.016479999999999998	0.08069333333333334	65.52666666666667	34.653333333333336	7.073333333333333	93.83333333333333	2.1893333333333334	0.0328	0.6066666666666667	2016.5	5.8	114.266183333333	22.2622	0.12997333333333333	9.283809523809524	1.1771428571428568	5.763809523809525	2.342857142857143
EM3	3588.2127659574467	1.0	1.0184397163120567	0.0009858156028368795	3.9801418439716314	0.03276595744680851	0.3731914893617021	0.29	0.10709219858156029	19.988652482269504	4.912056737588653	0.6980851063829788	3.3191489361702127	32.5290780141844	0.6631205673758865	7.94113475177305	0.010921985815602837	0.014063829787234043	0.06871631205673759	27.843971631205672	14.163120567375886	7.188652482269504	95.29787234042553	2.08936170212766	0.023560283687943263	0.6191489361702127	2016.2553191489362	5.851063829787234	114.269066666666	22.2372833333333	0.10634042553191489	7.595744680851063	1.0045592705167175	4.908308004052685	1.6828774062816616
ET1	3848.75	1.0	1.0583333333333333	0.0017738095238095236	3.4154761904761903	0.037142857142857144	0.46726190476190477	0.34773809523809524	0.18619047619047618	20.614285714285714	4.141666666666667	0.7746428571428571	2.967857142857143	32.06071428571428	1.186904761904762	7.889285714285715	0.015845238095238096	0.01842857142857143	0.10059523809523808	905.25	385.92857142857144	6.446428571428571	86.03571428571429	2.9464285714285716	0.06648809523809524	0.7714285714285714	2016.2142857142858	5.214285714285714	114.243733333333	22.27005	0.18551190476190477	13.250850340136054	1.3163265306122451	7.1853741496598635	4.749149659863946
ET2	4025.75	1.0	0.8571428571428571	0.0020476190476190477	2.780952380952381	0.04107142857142857	0.49773809523809526	0.36404761904761906	0.2244047619047619	20.65833333333333	3.1535714285714285	0.8260714285714286	3.5571428571428574	32.17261904761905	0.6892857142857143	7.794047619047619	0.021023809523809524	0.021464285714285714	0.11160714285714286	4040.595238095238	1816.5833333333333	6.036904761904762	80.60714285714286	1.3107142857142857	0.09095238095238095	0.5892857142857143	2016.2142857142858	5.214285714285714	114.229716666666	22.2846333333333	0.22402380952380951	16.00170068027211	1.5331632653061225	7.971938775510204	6.496598639455782
