Station	Unnamed: 0	Sample No	Volatile Suspended Solids (mg/L)	Unionised Ammonia (mg/L)	Turbidity (NTU)	Total Phosphorus (mg/L)	Total Nitrogen (mg/L)	Total Kjeldahl Nitrogen (mg/L)	Total Inorganic Nitrogen (mg/L)	Temperature (°C)	Suspended Solids (mg/L)	Silica (mg/L)	Secchi Disc Depth (M)	Salinity (psu)	Phaeo-pigments (μg/L)	pH	Orthophosphate Phosphorus (mg/L)	Nitrite Nitrogen (mg/L)	Nitrate Nitrogen (mg/L)	Faecal Coliforms (cfu/100mL)	E. coli (cfu/100mL)	Dissolved Oxygen (mg/L)	Dissolved Oxygen (%saturation)	Chlorophyll-a (μg/L)	Ammonia Nitrogen (mg/L)	5-day Biochemical Oxygen Demand (mg/L)	Year	Month	x	y	DIN(mg/L)	DIN(uM)	Nitrite Nitrogen (uM)	Nitrate Nitrogen (uM)	Ammonia Nitrogen (uM)
DM1	359.0	1.0	7.260869565217392	0.014295652173913044	30.645217391304346	0.3237614678899082	3.793211009174312	2.325229357798165	2.870173913043478	25.303478260869564	46.43478260869565	7.722608695652174	1.0626086956521739	14.211304347826086	5.630434782608695	7.259130434782608	0.20503478260869565	0.34262608695652175	1.1312608695652173	43688.18260869565	23855.347826086956	4.765217391304348	62.65217391304348	9.148695652173913	1.3962086956521738	2.985217391304348	2016.3391304347826	6.556521739130435	114.010733333333	22.49615	2.8700956521739127	205.00683229813663	24.47329192546584	80.80434782608695	99.72919254658383
DM2	774.0	1.0	5.430434782608696	0.014556521739130435	25.578260869565216	0.2636697247706422	2.96348623853211	1.686880733944954	2.287391304347826	25.351304347826087	34.428695652173914	6.591304347826087	1.0565217391304347	16.1	5.269565217391304	7.421739130434783	0.17068695652173915	0.27960869565217394	0.9952260869565218	23576.739130434784	12365.608695652174	5.315652173913043	70.61739130434782	10.305217391304348	1.0124260869565218	2.4460869565217394	2016.3391304347826	6.556521739130435	113.992483333333	22.5075666666666	2.287260869565218	163.37577639751558	19.972049689440997	71.08757763975156	72.31614906832299
DM3	1213.5	1.0	2.6116666666666664	0.005758333333333333	10.1425	0.1280701754385965	1.6112280701754387	0.5994736842105264	1.2873333333333332	25.129166666666666	12.975833333333332	4.247333333333334	1.3075	20.495833333333334	2.6308333333333334	7.621666666666667	0.08169166666666668	0.154925	0.8562416666666667	495.19166666666666	180.175	5.913333333333333	80.21666666666667	5.805000000000001	0.27574166666666666	1.1666666666666667	2016.5	6.5	113.959183333333	22.4766666666666	1.2869083333333333	91.92202380952381	11.06607142857143	61.16011904761905	19.695833333333333
DM4	1985.5	1.0	1.8391304347826087	0.0042	7.452173913043478	0.08027522935779817	1.3538532110091743	0.441605504587156	1.0957826086956521	25.053478260869564	10.111739130434781	3.7540434782608694	1.5452173913043477	21.682608695652174	1.3182608695652174	7.663043478260869	0.046008695652173914	0.12444347826086956	0.7818478260869565	495.9869565217391	210.47391304347826	5.880000000000001	79.9	2.9556521739130432	0.1889521739130435	0.7852173913043478	2016.3391304347826	6.556521739130435	113.932283333333	22.4555833333333	1.0952434782608695	78.23167701863353	8.888819875776397	55.84627329192546	13.49658385093168
DM5	2972.0	1.0	1.561159420289855	0.0037507246376811596	5.998245614035088	0.06513761467889909	1.1317737003058104	0.4020183486238532	0.8719710144927536	24.748985507246374	7.661159420289855	3.1073623188405795	1.7652173913043478	24.48695652173913	1.0582608695652174	7.760869565217392	0.03169565217391304	0.09634492753623188	0.6321652173913044	1029.5275362318841	480.6289855072464	5.917971014492753	81.35362318840579	2.9901449275362317	0.14303478260869565	0.8034782608695652	2016.3391304347826	6.556521739130435	113.8898	22.4260166666666	0.8715449275362319	62.253209109730854	6.881780538302277	45.15465838509317	10.216770186335404
EM1	1103.0	1.0	1.2153846153846155	0.002170940170940171	3.2558404558404557	0.036036036036036036	0.4242642642642643	0.322042042042042	0.15905982905982904	23.226780626780627	5.074074074074074	0.7437037037037038	3.124786324786325	32.25669515669516	1.0544159544159544	7.9193732193732185	0.01288034188034188	0.019680911680911684	0.08377492877492877	455.71794871794873	187.55555555555554	6.0800569800569795	84.90598290598291	3.318803418803419	0.05535612535612536	0.6641025641025641	2016.4017094017095	6.538461538461538	114.255583333333	22.2751	0.15881196581196583	11.343711843711844	1.405779405779406	5.983923483923483	3.9540089540089545
EM2	2376.5	1.0	1.2466666666666666	0.0017722222222222223	3.316111111111111	0.0352046783625731	0.41362573099415206	0.3206432748538012	0.13547222222222224	23.1075	5.3261111111111115	0.7000555555555555	3.1675	32.37416666666667	1.0169444444444444	7.932777777777778	0.011111111111111112	0.017355555555555555	0.0743361111111111	252.01111111111112	90.79166666666667	6.195277777777778	86.54722222222222	2.9625	0.04294722222222222	0.7077777777777778	2016.5	6.5	114.266183333333	22.2622	0.13463888888888886	9.61706349206349	1.2396825396825395	5.309722222222222	3.06765873015873
EM3	3593.0	1.0	1.2133333333333334	0.0015420289855072465	3.7153623188405795	0.032140672782874614	0.37755351681957183	0.30394495412844036	0.10704347826086956	23.15304347826087	4.9736231884057975	0.6505217391304348	3.28	32.50347826086957	0.9130434782608695	7.9513043478260865	0.009489855072463768	0.014457971014492753	0.05927826086956522	81.56811594202898	28.171014492753624	6.302608695652174	88.19420289855073	2.8431884057971013	0.032756521739130434	0.6939130434782609	2016.3391304347826	6.547826086956522	114.269066666666	22.2372833333333	0.1064927536231884	7.606625258799172	1.032712215320911	4.2341614906832294	2.339751552795031
ET1	3854.0	1.0	1.4429378531073447	0.0027853107344632767	3.3451977401129946	0.03642424242424242	0.48496969696969694	0.35763636363636364	0.19898305084745763	23.629943502824858	5.497175141242938	0.7393785310734463	2.8203389830508474	31.44011299435028	1.8384180790960452	7.932203389830509	0.012898305084745763	0.01901129943502825	0.10692090395480226	1468.4180790960452	422.49152542372883	6.034463276836157	84.71751412429379	5.1734463276836165	0.07215254237288136	1.0152542372881355	2016.4406779661017	6.1525423728813555	114.243733333333	22.27005	0.1980847457627119	14.148910411622278	1.357949959644875	7.637207425343019	5.153753026634384
ET2	4031.0	1.0	1.11864406779661	0.0031694915254237292	3.4197740112994346	0.04357575757575758	0.5456969696969697	0.3907272727272727	0.2618079096045198	23.381920903954803	4.184180790960452	0.9288135593220339	3.2864406779661017	31.557627118644067	1.1706214689265535	7.818644067796611	0.019796610169491524	0.0244180790960452	0.13231073446327685	6770.751412429378	2310.5649717514125	5.249152542372881	72.9774011299435	2.598870056497175	0.10461581920903955	0.7412429378531072	2016.4406779661017	6.1525423728813555	114.229716666666	22.2846333333333	0.2613446327683616	18.667473769168687	1.7441485068603713	9.450766747376917	7.472558514931396
